Facility name,Username,Channel id,Channel name,Content id,Content title,Time of first interaction,Time of last interaction,Time of completion,Time Spent (sec),Progress (0-1),Content kind
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,a07954a3f640429685f37a19f14f5c94,,2022-04-05 20:32:15.357069+00:00,2022-04-05 20:32:18.846923+00:00,,0.0,0.0000,exercise
Associação PiPA,DanielP22,f56714cefaa3488b95edd9e7c09aef7b,Redes  Comunitárias,1a2c6612b79f4dea8909f70d99e4537f,Sumario deste curso,2022-04-05 21:36:16.758161+00:00,2022-04-05 21:36:25.473893+00:00,,6.6,0.7500,document
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,dd86182a6d3542e3ab2063894050f40f,Tutorial planejamento de classe - Kolibri,2022-04-05 21:36:57.190508+00:00,2022-04-05 21:37:04.623913+00:00,,5.0,0.0000,video
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,02fc0d102d2848ff82310e998b60b146,Plano de Aula,2022-04-05 21:37:29.161454+00:00,2022-04-05 21:37:50.613853+00:00,,15.0,1.0000,document
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,39dd8386566046b6bed0cb9057f2278a,1° Desafio: Aula Teste de Geometria,2022-04-05 21:37:56.143248+00:00,2022-04-05 21:45:55.949157+00:00,,406.0,1.0000,video
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,b191c97bb9174720b965459b7994d6c9,Lista de Exercícios de Geometria,2022-04-05 21:46:00.892868+00:00,2022-04-05 21:46:00.892868+00:00,,0.0,0.0000,exercise
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,b191c97bb9174720b965459b7994d6c9,Lista de Exercícios de Geometria,2022-04-05 21:46:55.392570+00:00,2022-04-05 21:51:06.429244+00:00,,249.6,0.2000,exercise
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,b191c97bb9174720b965459b7994d6c9,Lista de Exercícios de Geometria,2022-04-05 22:00:23.536372+00:00,2022-04-05 22:00:29.665902+00:00,,5.4,0.2000,exercise
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,b191c97bb9174720b965459b7994d6c9,Lista de Exercícios de Geometria,2022-04-05 22:02:21.680043+00:00,2022-04-05 22:03:27.061255+00:00,,57.1,0.0000,exercise
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,b191c97bb9174720b965459b7994d6c9,Lista de Exercícios de Geometria,2022-04-05 22:04:22.101650+00:00,2022-04-05 22:04:25.164642+00:00,,0.0,0.0000,exercise
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,3cad2766fd824f1d860bb6ec649fc002,Plano de curso sustentabilidade,2022-04-05 22:04:47.997609+00:00,2022-04-05 22:05:19.676272+00:00,,37.0,1.0000,document
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,7b94b3f9d4164d1aa859ef8bb0320686,S01 Sustentabilidade na prática,2022-04-05 22:05:24.027361+00:00,2022-04-05 22:05:53.654146+00:00,,25.1,1.0000,document
Associação PiPA,DanielP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,5f60a3e7aeb44d37aabc276e42c9c0f9,Aula - Por Que Você Tem Tantas Roupas - Final Cut-1 - compressed,2022-04-05 22:06:17.422719+00:00,2022-04-05 22:15:36.855760+00:00,,531.0,1.0000,video
Associação PiPA,MateusLC22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,02fc0d102d2848ff82310e998b60b146,Plano de Aula,2022-04-05 22:08:27.363548+00:00,2022-04-05 22:08:41.205184+00:00,,11.8,1.0000,document
Associação PiPA,MateusLC22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,02fc0d102d2848ff82310e998b60b146,Plano de Aula,2022-04-05 22:08:42.720270+00:00,2022-04-05 22:09:01.154863+00:00,,15.0,0.0000,document
Associação PiPA,MateusLC22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,39dd8386566046b6bed0cb9057f2278a,1° Desafio: Aula Teste de Geometria,2022-04-05 22:09:05.096449+00:00,2022-04-05 22:09:15.426833+00:00,,0.0,0.0170,video
Associação PiPA,MateusLC22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,b191c97bb9174720b965459b7994d6c9,Lista de Exercícios de Geometria,2022-04-05 22:09:16.592435+00:00,2022-04-05 22:09:24.092474+00:00,,5.0,0.0000,exercise
Associação PiPA,MateusLC22,6ae32dff07384e229e8a6e968d8c3f42,Matemática - Preparando o Futuro,a42d5296fbb94fc1be2fd2f4a0b14bb6,Artefato Detectado I,2022-04-05 22:09:49.852152+00:00,2022-04-05 22:10:01.398131+00:00,,10.0,1.0000,document
Associação PiPA,MateusLC22,6ae32dff07384e229e8a6e968d8c3f42,Matemática - Preparando o Futuro,a42d5296fbb94fc1be2fd2f4a0b14bb6,Artefato Detectado I,2022-04-05 22:10:11.381171+00:00,2022-04-05 22:10:11.381171+00:00,,0.0,0.0000,document
